表名,中文表名,数据周期,中文描述,数据公布时间,更新频率,表状态
mkt_equ_mf_new,沪深日资金流向,全量传输,获取沪深股票日度资金流向数据，以主动买卖判断资金流入流出，划分小、中、大、超大四种单类。计量方式包含成交金额、成交量和成交笔数三种。单类判断标准：以前20个交易日平均每笔成交金额为参考值，对比每笔的成交金额，小单-（0-1倍]；中单-（1-10倍]；大单-（10-100倍]；超大单-大于100倍或金额大于100万。一般规则：1。集合竞价时段，成交价等于昨收盘价不计入资金流向，成交价大于昨收盘价计为流入，反之流出；2。流出金额及流出量以负数计，流出笔数以正数计；3。净流入=流入-流出，主力=特大单+大单，总成交金额=各单类流入流出之和+集合竞价时段的值。,16:50,日,正式
mkt_equd,股票日行情,全量传输,获取沪深京股票未复权日行情信息，包含昨收价、开盘价、最高价、最低价、收盘价、成交量、成交金额等字段。,15:15,日,正式
mkt_equd_eval,股票估值信息,全量传输,获取沪深京股票每日估值信息，包含总市值、流通市值、市盈率、市净率、市现率、企业价值倍数等信息。,16:00,日,正式
mkt_equd_adj_af,股票后复权日行情,全量传输,获取沪深京股票后复权收盘日行情，包含后复权调整的昨收价、开盘价、最高价、最低价、收盘价等。,15:40,日,正式
mfirstday_after_holiday,节假日首日时间信息,全量传输,用于存放节假日后首个交易日数据。,不定时,不定期,正式
md_type,行业分类标准,null-null,记录机构、证券与批文的多种分类目录汇总表，主要包括行业分类、证券类型分类、地域分类明细等。,不定时,不定期,正式
md_type_description,行业简介,null-null,对行业进行一个简单的描述。,不定时,不定期,正式
md_trade_time,交易时间,全量传输,各个交易场所对交易日历时间的具体描述，包括开始时间、结束时间、所属时区等信息。,18:00,不定期,正式
md_trade_spec,特殊交易日,全量传输,记录交易市场交易日的特殊情况，例如半日交易，台风导致暂停交易等情况。,不定时,不定期,正式
md_trade_cal,交易日历,全量传输,记录交易市场当天是否开市、当前日期之前一交易日、当天所在周/月/季/年之第一个交易日和最后一个交易日等信息，便于直接调用、辅助数据统计计算。,不定时,年,正式
md_sec_type,证券板块成分,全量传输,记录证券板块的基础信息，包括板块名称、纳入及剔除时间等。,不定时,不定期,正式
md_sec_time,证券对应交易时间,全量传输,记录证券交易场所交易时间板块的对应关系。,18:00,不定期,正式
md_sec_symbol,证券代码对应,null-null,记录证券在市场上相关代码信息，如股票IPO申购代码、基金的申赎代码等。,不定时,日,正式
md_sec_intl,国际通用编码,全量传输,记录证券国际通用编码信息，包括了债券，股票等。,不定时,日,正式
md_sec_halt,证券停复牌,全量传输,记录股票、债券、基金停复牌的时间、原因及期限说明等。,不定时,日,正式
md_sec_chg,证券指标变动,null-null,获取证券指标历史变动信息，如股票交易简称变动历史、证券交易单位变更等。,不定时,日,正式
md_security,证券主表,全量传输,记录证券编码及上市基本信息，如交易代码、交易市场、证券简称、上市日期、状态等。目前记录的证券范围包括全部沪深京交易所证券、全部银行间债券、香港交易所港股、国内基金等。表中的SECURITY_ID字段可与其他相关表中涉及到SECURITY_ID的数据相关联。,不定时,日,正式
md_schedule_derived,日期安排衍生表,全量传输,记录节假日安排数据。,不定时,年,正式
md_people,人员基本信息,全量传输,记录个人基本信息。,不定时,日,正式
md_inst_type,行业成分,全量传输,记录上市公司所属行业的进出记录，包含公司代码、行业编码、纳入日期、剔除日期，是否最新等。行业分类标准目前提供申万行业（2014版）、申万行业（2021版）、证监会行业、中证行业、恒生行业、中信行业、战略性新兴产业（科创板）、国证行业分类(2019)。通过分类ID关联行业分类标准表查看对应的行业名称。,不定时,不定期,正式
md_inst_cha,公司名称变更,全量传输,记录公司名称变更的相关信息。,不定时,不定期,正式
md_institution,机构主表,全量传输,记录各个法人机构的相关信息，如名称、注册日期、注册地点等信息。表中的PARTY_ID字段可与其他相关表中涉及到PARTY_ID的数据相关联。,不定时,日,正式
md_country,国家代码,全量传输,采用ISO标准（ISO 3166-1）国家代码记录的国家地区信息，信息包含二位字母、三位字母、数字三种形式。,不定时,不定期,正式
fdmt_main_data_pit,(新准则)财务指标(Point in time),null-null,"1、根据2018年新会计准则的基础数据衍生的财务指标表，在原有的指标表基础上进行了迭代更新。
    2、本表中的科目汇总了原有的指标，且在指标数量和计算公式上有所更新。
    3、本表数据为PIT数据，记录了指标变化的过程。",不定时,不定期,正式
fdmt_ef_v2,业绩预告v2,null-null,"fdmt_ef_v2在fdmt_ef_new表的基础上做了迭代，与new表的主要区别如下：
1、结合近些年报告公布情况，增加了扣非后归母净利润、扣非后净利润等相关字段
2、处理规则变更。fdmt_ef_v2中的字段和报告公布是一一对应的；fdmt_ef_new会做整合，例如当报告公布了净利润没有公布归母净利润，会把净利润处理至归母净利润中。当公布了扣非后归母净利润未公布归母净利润，会把扣非后归母净利润处理至归母净利润中等。",不定时,季,正式
fdmt_ee,业绩快报,null-null,获取2007年以后的业绩快报相关数据，主要为会计期间结束后，定期公告披露前未经审计的主要会计数据和经营指标。,不定时,季,正式
fdmt_adt_opn_n,财务报告审计意见,null-null,记录沪深上市公司审计意见相关数据。,不定时,不定期,正式
exchange,交易市场,全量传输,获取中债金融估值中心有限公司发布的指数的日度收盘信息，包含开盘点位、最高点位、最低点位、收盘点位、指数市值、指数久期等字段。,19:30,日,正式
equ_shares_change,公司股本变动(新),全量传输,记录上市公司股份变动情况。,不定时,不定期,正式
equ_free_shares,自由流通股本,全量传输,记录上市公司自由流通A股变化情况，包含定期报告和非定期报告。,不定时,日,正式
equ_div,分红,全量传输,股票历次分红（派现、送股、转增股）的基本信息，包含历次分红预案的内容、实施进展情况、历史宣告分红次数以及股改分红情况。,"09:00,14:00,18:00",不定期,正式
equ_anno_info,沪深股票公告基本信息,全量传输,记录沪深京股票公告详细信息，包括公告来源、公告标题、公告链接、公告日期、公告对应代码。,不定时,日,正式
equity_report_predisclo,上市A股定期报告预披露,全量传输,记录A股定期报告的预披露信息，包括报告期、定期报告预计披露日期、实际披露日期和变更披露的日期。,不定时,季,正式
futu_con_ctd,国债期货衍生指标,20210801-null,该表记录了国债期货衍生指标，包括发票价格、基差、交割利息、IRR和CTD券。国债期货品种包括2年期国债期货、5年期国债期货、10年期国债期货。,不定时,日,试用
mkt_spotd,现货日行情,20210801-null,获取现货日度收盘行情，包含开盘价、最高价、最低价、收盘价、成交量、持仓量、成交金额等。目前覆盖上海黄金交易所。,18:00,日,试用
idx_opn_wt_aa_hs,通联全A(沪深)开盘权重,20210701-null,获取通联全A(沪深)指数的日度开盘权重。,09:00,日,试用
idx_opn_wt_mc_hs,通联微盘股(沪深)开盘权重,20210701-null,获取通联微盘股(沪深)指数的日度开盘权重。,09:15,日,试用
mkt_idxd_hsi,恒生指数日行情,20210701-null,获取恒生指数发布的指数的日度收盘信息，包含开盘点位、最高点位、最低点位、收盘点位、成交量、成交金额等字段。,"16:20,16:55",日,试用
mkt_idxd_msci,明晟指数日行情,20210701-null,获取MSCI指数公司发布的指数的日度收盘信息，包含收盘点位等字段。,不定时,日,试用
hsi_idxm_weight,恒生月度权重,20210701-null,获取恒生指数的成分股月度权重信息，包括指数内部代码、成分股内部代码、权重生效日及成分股权重。,不定时,月,试用
idx_cons_sw,申万指数成分,20210701-null,获取申万发布的指数的成分构成情况，包括指数内部编码、成分券内部编码、纳入日期、剔除日期等。,不定时,不定期,试用
mkt_idxd_dy,通联指数日行情,20210701-null,获取通联数据发布的指数的日度收盘信息，包含开盘点位、最高点位、最低点位、收盘点位、成交量、成交金额等字段。,15:15,日,试用
mkt_idxd_eval,指数估值信息,20210701-null,获取指数估值信息，包含指数总市值、流通市值、指数市盈率、指数市净率、ROE、成分股涨跌数等信息。请注意：净利润与市值不含PE为负或大于1000的成分股；成分中含B股的，换算为CNY。,16:30,日,试用
mkt_idx_eval_ashare,沪深指数估值信息,20210701-null,获取沪深指数估值信息，计算范围为成分股仅包含沪深股票的指数。包含市盈率、市净率、市现率、市销率、净资产收益率、指数总市值、流通市值、自由流通市值、换手率、自由流通换手率、股息率等信息。请注意：净利润与市值不含PE为负或大于1000的成分股；成分中含B股的，换算为CNY。,16:00,日,试用
idx_pre_cons,指数备选成分,20210701-null,获取指数的备选成分进出记录及每期备选成份股排名。,不定时,不定期,试用
idx_pub_channel,指数发布渠道,20210701-null,记录各个指数行情发布的渠道信息。,不定时,不定期,试用
mkt_idxd_cbond,中债指数日行情,20210701-null,获取中债金融估值中心有限公司发布的指数的日度收盘信息，包含开盘点位、最高点位、最低点位、收盘点位、指数市值、指数久期等字段。,19:30,日,试用
mkt_idx_perf,指数最新表现,20210701-null,获取指数每日最新表现，包含最近一个交易日的周、月、季、半年、年等区间涨跌幅情况。沪深重要指数的更新时间为15:30，其他指数因发布机构不同会陆续更新。,15:30,日,试用
idx_cons_hsi,恒生指数成分,20210701-null,获取恒生发布的指数的成分构成情况，包括指数内部编码、成分券内部编码、纳入日期、剔除日期等。部分指数（恒生指数除外）由于上市时间较早，官网未能披露完整成分变动情况所以最早的成分变动从2008年开始。,不定时,不定期,试用
mkt_idx_mf,指数资金流向,20210701-null,获取指数日资金流向按照单类大小明细，包含资金净流入、资金流入、资金流出、小单资金流入、小单资金流出、小单资金净流入等，其中单类大小定义为：（单位：元）N：0；S：（0，100万]；M：（100万，500万]；L：（500万，1000万]；XL：1000万以上。,17:00,日,试用
mkt_idx_ret,指数年收益率,20210701-null,获取指数的年收益率，收益率类型包含累计收益率、平均收益率、复合收益率，周期维度包含3年、5年、10年、发布以来等。,不定时,日,试用
idx_wt_aa_hs,通联全A(沪深)收盘权重,20210701-null,获取通联全A(沪深)指数的日度收盘权重。,15:30,日,试用
mkt_idx_performance,股票指数业绩表现,20210701-null,获取指数在一段日期内的收益率统计数据，包含近一个月/季/年/N年的平均收益率，收益率标准差和夏普比率等。沪深重要指数的更新时间为17:00，其他指数因发布机构不同会陆续更新。,17:30,日,试用
mkt_idxd_cni,国证指数日行情,20210701-null,获取国证指数公司发布的指数的日度收盘信息，包含开盘点位、最高点位、最低点位、收盘点位、成交量、成交金额等字段。股票指数更新时间为T日20:00左右，债券指数、基金指数等T+1日12:00左右更新。,"20:00,12:00",日,试用
mkt_idxn_ind,指数区间行情指标,20210701-null,获取指数区间行情指标数据，包括区间最高最低收盘价，平均价格，平均收益率，年化收益率，成交均价，振幅。,17:00,日,试用
idx_rel,指数关联信息,20210701-null,获取指数间的关联关系，包含通道代码、全收益、净收益、加权方式、币种、上一级行业等。每一种关联类型只记录最直接的一层关系，如某个三级行业指数的行业指数关联-0406，只关联其对应的二级行业指数。,不定时,不定期,试用
sw_idxm_weight,申万月度权重,20210701-null,获取申万指数的成分股月度权重信息，包括指数内部代码、成分股内部代码、权重生效日及成分股权重。,不定时,月,试用
csi_idxm_wt_bond,中证债券月度权重,20210701-null,获取中证债券指数的成分股月度权重信息，包括指数内部代码、成分股内部代码、权重生效日及成分股权重。,不定时,月,试用
mkt_com_idxd,商品指数日行情,20210701-null,获取商品指数日行情，涵盖大连商品交易所、上海期货交易所、郑州商品交易所及通联数据自主计算的商品指数日行情信息，包含前收盘价、前结算价、开盘价、最高价、最低价、收盘价、结算价、均价、成交量、成交金额、涨跌、涨跌幅等。更新时间因发布机构不同，大商所及郑商所-16:40，通联-17:20，上期所18:00。,17:00,日,试用
mkt_idxd_exchange,交易所指数日行情,20210701-null,获取沪深京交易所、股转系统发布的指数的日度收盘信息，包含开盘点位、最高点位、最低点位、收盘点位、成交量、成交金额等字段。重要指数的更新时间为15:15，其他指数因计算时间不同会陆续更新。成交量单位：股票指数——股，基金指数——份，债券指数——万元。,"15:15,16:00,16:30,19:00",日,试用
mkt_idx_mf_new,指数资金流向(新),20210701-null,获取沪深指数日资金流向，包含资金净流入、资金流入、资金流出、小单资金流入、小单资金流出、小单资金净流入等；单类判断标准：以成分股前20个交易日平均每笔成交金额为参考值，对比每笔的成交金额，小单-（0-1倍]；中单-（1-10倍]；大单-（10-100倍]；超大单-大于100倍或金额大于100万；流入以正数计，流出以负数计。,17:00,日,试用
idx_cons_dy,通联指数成分,20210701-null,获取通联发布的指数的成分构成情况，包括指数内部编码、成分券内部编码、纳入日期、剔除日期等。,不定时,不定期,试用
cni_idxm_weight,国证月度权重,20210701-null,获取国证指数的成分股月度权重信息，包括指数内部代码、成分股内部代码、权重生效日及成分股权重。,不定时,月,试用
mkt_idxd_sw,申万指数日行情,20210701-null,获取申万研究所发布的指数的日度收盘信息，包含开盘点位、最高点位、最低点位、收盘点位、成交量、成交金额等字段。,"17:30,19:45",日,试用
idx_cons_cni,国证指数成分,20210701-null,获取国证指数公司发布的指数的成分构成情况，包括指数内部编码、成分券内部编码、纳入日期、剔除日期等。,不定时,不定期,试用
idx_cons_core,重点指数成分,20210701-null,根据中证或国证指数公司官方公告提前获取重点指数的成分调整情况，包括指数内部编码、成分券内部编码、纳入公告日期、剔除公告日期、纳入生效日期、剔除生效日期。目前涵盖的重点指数包括沪深300(000300)、中证100(000903)、中证500(000905)、上证50(000016)、上证180(000010)、上证380(000009)、科创50(000688)、科创信息(000682)、北证50(899050)、中证1000(000852)、中证800(000906)、深证成指(399001)、创业板指(399006)、深证100(399330)、中证2000(932000)、深证50(399850)、上证红利(000015)。,不定时,不定期,试用
mkt_idxd_csi,中证指数日行情,20210701-null,获取中证指数公司发布的指数的日度收盘信息，包含开盘点位、最高点位、最低点位、收盘点位、成交量、成交金额等字段。A股指数更新时间为19:00左右，其他指数因类别不同会陆续更新。,"16:30,18:00,19:00,22:30,09:00,12:00",日,试用
idx_wt_aa_hsj,通联全A(沪深京)收盘权重,20210701-null,获取通联全A(沪深京)指数的日度收盘权重。,15:30,日,试用
mkt_idxn,指数区间行情,20210701-null,获取指数区间行情信息，统计周期包括周、月、季、半年、年，字段包括昨收盘、开盘点位、最高点位、最低点位、收盘点位、成交量、成交金额、涨跌、涨跌幅等。,17:00,日,试用
idx,指数基本情况,20210701-null,获取国内外指数的基本要素信息，包括指数名称、指数代码、发布机构、发布日期、基日、基点、指数系列、样本证券类型、样本交易市场、加权方式、指数类型等。,不定时,不定期,试用
mkt_idx_int_perf,指数区间涨跌幅,20210701-null,获取指数每日表现，包含从2020-01-02后每一个交易日的周、月、季、半年、年等区间涨跌幅情况。沪深重要指数的更新时间为15:30，其他指数因发布机构不同会陆续更新。,15:30,日,试用
cb_idxm_weight_1,中债指数月度权重(2022-2031),20210701-null,获取中债指数(2022-2031)的成分股月度权重信息。,不定时,月,试用
cb_idxm_weight_0,中债指数月度权重(2002-2021),20210701-null,获取中债指数(2002-2021)的成分股月度权重信息。,不定时,月,试用
idx_cons_cbond,中债指数成分,20210701-null,获取中债发布的指数的成分构成情况，包括指数内部编码、成分券内部编码、纳入日期、剔除日期等。,不定时,不定期,试用
mkt_idxd_oth,其他指数日行情,20210701-null,获取各国际指数、南华指数的日度点位信息，包含开盘、最高、最低、收盘点位、成交量等字段。,不定时,日,试用
idx_cons_csi,中证指数成分,20210701-null,获取中证发布的指数的成分构成情况，包括指数内部编码、成分券内部编码、纳入日期、剔除日期等。,不定时,不定期,试用
mkt_idxd_sch,上清所指数日行情,20210701-null,获取上清所官网的指数的日度收盘信息，包含收盘点位、最新除数、样本数量、指数总市值、指数平均收益率等字段。,09:00,日,试用
csi_idxm_wt_other,中证其他月度权重,20210701-null,获取中证其他指数的成分股月度权重信息，包括三板亚太，全球指数。,不定时,月,试用
mkt_idxd_eval_stats,指数估值统计信息,20210701-null,记录指数估值信息中PE&PB的百分位，中位数信息（计算过往10年的数据）。,16:30,日,试用
idx_opn_wt_aa_hsj,通联全A(沪深京)开盘权重,20210701-null,获取通联全A(沪深京)指数的日度开盘权重。,09:00,日,试用
index_guide,指数数据索引,全量传输,记录了指数代码和主要数据表的对应关系，用户可以通过指数代码快速定位到该代码包含的数据内容和对应的存储位置。,13:30,不定期,试用
